0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
0.18983617,-0.67006934,1.4830446,-1.2925838,-0.24060965,0.7795365,-0.04455696,0.48168704,-1.1300129,0.9164506,1.0290381,-0.4299077,-1.3187913,1.4037335,-0.32817197,-0.6725665,0.2359695,-1.1155031,-0.09402886,-1.4480147,0.03864117,0.28575382,0.002672368,-0.650623,-0.4669043,1.0065045,-0.30053547,0.23545367,1.1388419,-0.6696019,0.49081126
0.081197254,-0.9162449,1.553686,-1.5182562,-0.32488096,0.6094727,0.112056024,0.2836346,-1.4392916,0.9099236,1.0974966,-0.3048578,-1.2658925,0.8641717,-0.5204648,-0.8753234,0.71895486,-0.71603554,0.040407903,-1.6584152,-0.25018972,0.28709903,0.08358878,-0.27590522,-0.5107224,0.51675034,-0.25547424,-0.05913966,1.0248063,-0.7340131,0.19220066
-0.0042078784,-0.6190957,1.6507154,-1.2267838,-0.18646961,0.91775787,0.021440819,0.18835774,-1.2216944,0.9835359,1.1308702,-0.54860383,-1.4365257,1.3972186,-0.41827092,-0.72363096,0.25242716,-0.81840944,0.06334882,-1.7455862,-0.31269705,0.2056301,0.42529622,-0.5923589,-0.82277286,0.79450375,-0.17859614,-0.1451275,1.1783434,-0.42463073,-0.040050264
0.11867679,-0.7698687,1.4694122,-1.189071,-0.37161767,0.8135569,0.1527272,0.5316136,-1.2275361,0.9356797,0.9997227,-0.48350042,-1.3329254,1.32645,-0.4561235,-0.8491601,0.41003865,-0.8128153,0.21378809,-1.6624894,-0.32204887,0.18885332,0.30612183,-0.5221876,-0.7339716,0.591173,-0.19561057,0.016458903,1.1370549,-0.62555194,0.1259066
0.15421948,-0.93414634,1.1971029,-1.282235,-0.23829119,0.78736675,0.23988016,0.55294025,-0.9998322,0.75668806,0.9996644,-0.5999488,-1.2744342,1.4201695,-0.44640368,-0.7775479,0.35306823,-1.1674637,0.052832685,-1.4705743,-0.13118175,0.20278688,0.07446245,-0.53874964,-0.5604766,1.1601661,-0.234525,0.21915671,0.88808185,-0.750253,0.7419168
-0.08620615,-0.6205995,1.6009209,-1.1915792,-0.061061136,0.9105967,0.0074422914,0.18126538,-1.4282948,0.91825634,0.9837815,-0.42863676,-1.3331069,1.2336117,-0.4015188,-0.82055104,0.23328769,-0.9919982,-0.062205307,-1.2651007,0.056698937,0.07501921,0.04569635,-0.68687725,-0.5286916,0.9803811,-0.08122656,-0.03373517,1.0699795,-0.59604686,0.13358968
0.096803926,-0.83515275,1.5602953,-1.2773758,-0.43419394,0.8019561,-0.044119388,0.4885483,-1.14383,0.95072377,1.0856661,-0.3838213,-1.2687576,1.3476886,-0.32600415,-0.80982286,0.4311324,-0.95181274,0.043190394,-1.5532135,-0.1972183,0.25241083,0.092744276,-0.5850711,-0.62340796,0.6372506,-0.24777363,0.16828868,1.0726999,-0.7290681,0.30377883
0.14864822,-0.86013836,1.7184663,-1.218911,-0.4240963,0.70137316,-0.09467907,0.35236666,-1.4474257,0.8041078,0.8367539,-0.27728897,-1.3415896,1.1460314,-0.35400948,-0.89897066,0.47673213,-0.90873694,0.095901534,-1.5403425,0.07539342,0.2616508,0.24588165,-0.4279891,-0.6620005,0.5721351,-0.33373934,-0.029031878,1.1302115,-0.58463764,0.16393432
0.05873313,-0.78674316,1.6088679,-1.2656581,-0.32335085,0.6942312,-0.13972576,0.38442832,-1.3881176,0.86739504,1.0614027,-0.27408066,-1.2965914,1.2902814,-0.23703514,-0.8106793,0.34402013,-1.0164235,0.0108087445,-1.4450941,0.1253769,0.29993075,0.17924996,-0.6414325,-0.56870997,0.60830516,-0.21752289,-0.015073115,1.2534986,-0.5643167,0.3463239
0.22036383,-1.0024889,1.6261349,-1.137864,-0.47240546,0.7196861,0.32989153,0.4317143,-1.4565704,0.7941305,0.99213636,-0.23975396,-1.2357975,0.9841795,-0.58361167,-0.9486876,0.66863596,-0.85675764,0.18729553,-1.3070408,0.011477106,0.24303356,0.20643961,-0.45362812,-0.6268476,0.40689957,-0.43921417,0.36980182,1.079804,-0.5688728,0.090826675
0.14087854,-0.6852964,1.5190946,-1.2041746,-0.25537348,0.9232504,0.22894779,0.43130982,-1.1147629,1.0977819,1.0434916,-0.6031355,-1.4666015,1.3831836,-0.5034893,-0.70318514,0.26656938,-0.8315819,0.039848607,-1.6536745,-0.25790504,0.22346626,0.1988527,-0.47165143,-0.64040285,0.767754,-0.17698735,0.08361822,1.2198797,-0.5129014,0.08000038
0.26773912,-1.0819736,1.4660904,-1.3205875,-0.32640868,0.81878173,0.06778755,0.52917045,-1.1731461,0.84688723,0.95999175,-0.4775432,-1.1323607,1.3274484,-0.33204576,-0.9821877,0.39281288,-1.0438156,0.036884177,-1.6134862,-0.37161145,0.35785893,0.1378798,-0.33986333,-0.48205757,0.5898854,-0.16030936,-0.27778965,1.1778693,-0.8133281,0.30283022
0.03742192,-0.60434645,1.6289296,-1.2426045,-0.21219607,0.7964304,-0.05644824,0.66614985,-1.2566748,0.90304494,0.94402915,-0.3189392,-1.3428686,1.27727,-0.3029696,-0.9517806,0.32584623,-0.94323415,0.056370076,-1.420121,-0.11068435,0.20432012,-0.054479226,-0.80064744,-0.5933743,0.73469996,-0.10175171,-0.14207485,1.2287009,-0.7549272,0.2321141
0.08066302,-0.8119588,1.5568435,-1.4403801,-0.24112386,0.8584982,0.1495537,0.2654773,-1.4634645,0.93908477,1.033995,-0.2977836,-1.1638706,0.96462435,-0.42014152,-0.9535224,0.45003158,-0.70863426,0.074071266,-1.4829503,-0.265896,0.18169785,0.05625698,-0.5567626,-0.38218808,0.6834714,-0.17524938,-0.48028263,1.3001996,-0.9610398,0.28442106
0.26123735,-0.9206782,1.782899,-1.3287263,0.13031727,0.820935,-0.24952629,0.09656944,-1.5925459,0.7269173,0.9992798,-0.032272663,-1.207554,1.0413883,-0.44700855,-1.1129798,0.3839204,-1.0081707,0.021238355,-1.06299,-0.07236047,0.34789172,0.113290094,-0.5993833,-0.8342136,0.5404734,0.048573866,-0.18235263,1.0155369,-0.44755003,0.31589994
