0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
-0.22961617,-0.058059752,-0.24112736,0.33470437,0.35623488,-1.2675266,-0.33951068,-0.579209,0.31815588,-0.26030326,-0.38464856,0.43459916,0.8804142,-0.016427651,-1.511643,0.08149105,0.18210958,0.5396109,-0.80738235,-0.35595807,-0.04923462,1.2881196,-2.3419764,-1.1272155,-0.25392246,-0.15217541,0.26282215,-1.1130234,-1.5508182,0.3235368,0.3069468,0.38502342,-0.791338,-0.042319726
-0.2417323,0.026937535,-0.18478069,0.16429636,0.5068801,-1.0325589,-0.25991997,-0.7187149,0.49144426,-0.23613897,-0.42390004,0.4437584,0.69083494,0.09192311,-1.6748927,0.1584035,0.10181477,0.59092194,-0.8923392,-0.14739458,-0.17318948,1.2256197,-2.3934731,-1.168784,-0.054187607,-0.2043533,0.44795442,-0.9886629,-1.536432,0.48704696,0.2432595,0.4223111,-0.63019806,-0.16053358
-0.32050902,-0.22225383,0.032672264,0.3158241,0.41527322,-0.96857035,-0.15474683,-0.81912845,0.7496943,-0.2820311,-0.54239887,0.41452503,0.8785598,0.1190571,-1.8241838,0.05362199,0.3206401,0.8528884,-0.8842601,-0.23160622,-0.2712439,1.1389666,-2.0411863,-1.2800614,-0.10762415,-0.19968373,0.32754844,-0.9645713,-1.4920721,0.6059492,0.117548436,0.5556493,-0.6582084,-0.16045655
-0.2278219,-0.11597489,-0.024685204,0.11902327,0.5022029,-1.1149622,-0.10134023,-0.607878,0.68750083,-0.2140554,-0.703883,0.3748155,0.62176806,0.18129762,-1.8548552,-0.05596863,0.25378948,0.70914894,-1.0032558,0.03967625,-0.18546353,1.29614,-2.1176467,-1.1662881,-0.15026012,-0.14340407,0.450572,-1.228234,-1.560954,0.4851403,-0.017000275,0.34238142,-0.78005177,-0.14917415
-0.13304414,0.2471711,-0.35243174,0.23527123,0.50175506,-0.8332136,-0.14085935,-1.0094959,0.56892467,-0.17456236,-0.5828486,0.73933005,1.12648,0.19294001,-1.664084,0.30680448,0.26550204,0.1627773,-1.1756599,-0.77514666,-0.21311694,1.1946012,-2.041182,-0.8762732,-0.07366632,-0.26695886,0.29173425,-1.0246762,-1.4853979,0.4392819,0.2779213,0.5369376,-0.5639251,-0.30443087
-0.12562044,0.17636439,-0.53094316,0.011788873,0.50476086,-1.0342206,-0.29414862,-0.89549744,0.4187152,-0.041288186,-0.43691537,0.45547807,0.5895726,0.34184995,-1.4960442,0.18360022,0.04506884,0.07413486,-1.0532428,-0.181547,0.15583462,1.2635919,-2.4822643,-0.9496061,0.04457681,-0.19559474,0.6633735,-1.0964193,-1.4510165,0.24011017,0.37189692,0.32354552,-0.88080746,-0.08849513
-0.2426418,-0.13169964,-0.0745963,0.15488443,0.36560035,-0.91657066,-0.48706898,-0.6110134,0.64177525,-0.09958188,-0.2798744,0.2459982,0.923651,0.047561947,-1.7448344,0.19089356,0.24769723,0.69377095,-0.7433189,-0.20857722,-0.20617746,1.12268,-2.4532373,-1.1966356,-0.15974744,-0.09030272,0.5735262,-1.14093,-1.5236225,0.5141544,0.13424796,0.44158947,-0.7170107,-0.40874448
-0.23702584,-0.118355684,-0.30251318,0.1580443,0.7604469,-0.82499766,-0.39093468,-0.9049219,0.57521254,-0.137247,-0.37082422,0.23283115,0.7653087,0.18013303,-1.5352961,-0.004038359,0.14706667,0.6540309,-0.9988153,-0.094746135,-0.227318,1.2846369,-2.418322,-1.0330508,-0.032742795,-0.34311247,0.663674,-0.9420545,-1.417704,0.5067673,0.25995028,0.29764166,-0.7747306,-0.31794226
-0.22343294,0.055100024,-0.4402659,0.11001399,0.48595202,-0.8517026,-0.10679404,-0.9908612,0.43597427,-0.07093017,-0.107248485,0.14076443,0.93405586,0.37183252,-1.3112217,0.1921598,0.3262732,0.013330176,-0.92801917,-0.6353734,-0.16775629,1.2286284,-2.3632474,-0.82802844,0.013505063,-0.12446854,0.46413535,-0.9294734,-1.442006,0.2387052,0.32132092,0.5295174,-1.0797725,-0.12681082
-0.12001931,0.15028559,-0.21198031,0.046519488,0.68299574,-1.0700318,-0.19723956,-0.78805417,0.42314687,0.009244107,-0.3001931,0.55987966,0.70680195,0.25004688,-1.3728224,0.052597333,0.29737967,0.16659485,-1.1692178,-0.59850943,-0.20165513,1.4572926,-2.4148352,-0.8519783,-0.031765956,-0.15490024,0.6643005,-0.81059307,-1.6543983,0.10796181,0.14441393,0.3447977,-0.89930964,-0.02681214
-0.10379054,0.16267008,-0.3561837,0.4636658,0.7292429,-0.7539276,-0.44193032,-0.9620838,0.5834615,-0.11914128,-0.66899633,0.7554768,1.0276723,0.22523542,-1.5000964,0.1550444,0.32494313,0.1891738,-1.3411771,-0.81794614,-0.2886571,1.1584283,-2.0741518,-0.8126828,0.03954638,-0.12217092,0.30029213,-0.96476394,-1.5474136,0.36216632,0.14022876,0.48281217,-0.59071076,-0.22422095
-0.16346346,-0.11249737,-0.1673499,0.37906006,0.5544685,-1.0066801,-0.53072,-0.6523204,0.59328926,-0.18562682,-0.44308102,0.39157838,0.8419425,0.03639895,-1.8713063,0.03241828,0.13160183,0.54524606,-0.9696527,-0.28703147,-0.12696241,0.99817556,-2.2671182,-1.2975239,-0.10053194,-0.17838459,0.5267168,-1.1062073,-1.6598704,0.45614702,0.21372871,0.33896354,-0.51288635,-0.21656424
-0.16119185,-0.020061687,-0.07419446,0.25757357,0.5265812,-0.97485226,-0.5152145,-0.72030956,0.5944204,-0.07905071,-0.38660055,0.52096486,0.8153264,-0.037934966,-1.834541,0.19852617,0.14112411,0.63005155,-0.8652949,-0.19511755,-0.1818665,0.9993295,-2.4562616,-1.229314,0.0045765312,-0.14968188,0.51658076,-1.0014728,-1.578229,0.5178895,0.15757185,0.3899871,-0.5108288,-0.26210847
-0.2666353,-0.058318008,-0.08304962,0.34333926,0.52401334,-0.97426814,-0.4486974,-0.6308444,0.64808816,-0.1797136,-0.5261656,0.4260908,0.75906503,0.08189232,-1.7980292,0.13424404,0.20149392,0.73999375,-0.91542506,-0.15475631,-0.1744962,1.1141448,-2.394995,-1.223299,0.0061872783,-0.18049459,0.52138394,-1.0214868,-1.6509627,0.5098017,0.13468567,0.40135676,-0.53433347,-0.17669873
